action_name,timestamp
SELECT FROM USER_COURSE, 46:22:02 16-05-2024
SELECT FROM USER_COURSE, 46:22:02 16-05-2024
SELECT FROM USER_COURSE, 46:22:02 16-05-2024
INSERT INTO APP_USER, 50:22:02 16-05-2024
SELECT FROM USER_COURSE, 30:47:02 16-05-2024
SELECT FROM USER_COURSE, 30:47:02 16-05-2024
SELECT FROM USER_COURSE, 30:47:02 16-05-2024
SELECT FROM USER_COURSE, 16:11:03 16-05-2024
SELECT FROM USER_COURSE, 16:11:03 16-05-2024
SELECT FROM USER_COURSE, 16:11:03 16-05-2024
DELETE FROM GRADE, 43:11:03 16-05-2024DELETE FROM GRADE, 43:11:03 16-05-2024DELETE FROM APP_USER, 43:11:03 16-05-2024DELETE FROM GRADE, 13:12:03 16-05-2024DELETE FROM GRADE, 13:12:03 16-05-2024DELETE FROM APP_USER, 13:12:03 16-05-2024DELETE FROM INSTRUCTOR, 33:12:03 16-05-2024DELETE FROM GRADE, 33:12:03 16-05-2024DELETE FROM APP_USER, 33:12:03 16-05-2024INSERT INTO APP_USER, 57:12:03 16-05-2024
SELECT FROM USER_COURSE, 14:23:03 16-05-2024
SELECT FROM USER_COURSE, 15:23:03 16-05-2024
SELECT FROM USER_COURSE, 15:23:03 16-05-2024
UPDATED APP_USER, 28:23:03 16-05-2024
